Label,Alanine,Asparagine,Aspartic acid,Citrulline,Glutamic acid,Glycine,Isoleucine,Leucine,Methionine sulfoxide,Phenylalanine,Proline,Serine,Taurine,Threonine,Tyrosine dimer,Valine,Arginine,Lysine,Histidine,Tryptophan,Ornithine,Lithochollic acid,Chenodeoxycholic acid,Cholic acid,Glycodeoxycholic acid,Taurochenodeoxychollic acid,Deoxycholic acid,Glycocholic acid,Glycochenodeoxycholic acid,Taurodeoxycholic acid,Taurochlic acid,Palmitic acid,Palmitoleic acid,Stearic acid,Oleic acid,Linoleic acid,Myristic acid,Myristoleic acid,Lauric acid,Pentadecanoic acid,Caproic acid,Caprylic acid,Capric acid,Margaric acid,Heptadecenoic acid,Acetic acid,Propionic acid,Butyric acid,Valeric acid
ZB100,17.64,0,4.39,0.35,50.91,0.83,1.05,1.05,0.3,0.33,0.23,0.32,0,0.24,0.72,2.11,0,3.07,0.16,0,0.13,242.63,34.94,0,3.15,0,7.46,0,45.86,8,6.7,2.06,0.3,1.37,86.5,14.83,201.4,0,1.47,374.3,31.7,0.04,0.04,258.48,0.03,11.68,11.57,8.23,3.74
ZB74,45.61,0.13,11.31,0,119.76,2.4,0.79,0.79,0.3,0.83,5.87,1.37,0.13,0.83,7.61,3.28,0,6.14,0,0,0,321.18,17.27,0,0.45,1,21.59,0,3.15,4.5,3.61,15.17,2.12,10.5,452.77,77.62,170.2,0.11,9.39,360.29,41.12,0.7,0.24,38.79,0.27,10.31,9.24,6.84,2.74
ZB78,50.42,0,18.1,0.53,139.92,2.33,0.92,0.92,0,0.99,4.84,1.16,0.13,1.07,11.05,3.51,0.17,5.99,0.16,0,0,263.74,19.63,0,0.9,0,29.05,0,2.25,3.5,5.67,2.67,3.4,1.55,192.35,32.97,157,0.01,3.51,280.39,11.42,0.04,0.02,42.27,0.05,11.79,10.35,9.14,4.67
ZB87,49.89,0,9.45,0.35,186.41,0.98,0.66,0.66,0,0.66,10.13,0.32,0,0.24,5.98,2.81,0,3.07,0.16,0,0,0,10.6,0,0,0.5,3.14,0,0,5,8.77,4.31,6.26,2.97,207.78,35.62,393.6,0.02,9.66,596.37,0.92,0.09,0.04,202.57,0.09,3.29,2.64,2.21,1.01
ZB95,51.67,0,11.18,0.88,122.41,4.28,3.15,3.15,0.9,2.15,8.98,1.16,0,1.43,11.42,9.14,0,8.92,0.16,0,0,302.11,29.84,0,2.25,0.5,45.93,0,6.74,4,5.67,3.15,3.36,2.3,189.14,32.43,226,0.01,8.16,334.04,17.91,0.07,0.04,49.32,0.01,10.3,8.69,8,4.08
ZB104,53.9,0,7.45,0,177.73,0.83,1.05,1.05,1.64,0.83,7.14,0.21,0,0.24,0.91,3.75,0,5.26,0,0,0,657.69,26.3,0,1.8,0.5,1.57,0,7.64,8,16.5,3.37,6.66,1.84,256.66,44.01,393.1,0.01,9.06,578.87,1.23,0.08,0.08,132.53,0.07,3.85,3.6,2.81,1.15
ZB72,19.6,0,133.38,1.93,115.5,0.53,0.26,0.26,0.15,0.33,0.46,0.32,0,0.24,1.27,0.47,0,1.17,0,0,0,138.18,4.71,0,0.45,1,1.96,0,9.44,1.5,20.63,2.22,0.78,1.6,35.43,6.07,220.6,0.01,4.26,415.82,5.46,0.05,0.04,289.34,0.04,11.16,9.48,8.01,5.07
ZB76,5.26,0.13,6.66,0.7,26.63,0.3,0.26,0.26,0.45,0.33,0.58,0,0.13,0.12,1.27,0.23,0.17,0.88,0,0,0,277.7,10.6,0,0.9,0,3.14,0,4.05,2,3.09,6.94,0.88,4.94,310.09,53.15,915.3,0.01,54.42,1185.49,7.11,0.35,0.36,269.61,0.17,7.36,6.26,5.09,3.2
ZB84,25.93,0.13,4.13,1.93,75.62,0.68,3.94,3.94,0.3,1.16,5.41,0.95,0,0.71,3.81,4.8,0.17,4.82,0.16,0,0.13,0,1.96,0,11463.77,1,2.75,0,1.8,6.5,9.28,8.72,0.9,6.81,140.36,24.06,598.8,0.03,25.56,810.99,6.75,0.31,0.24,111.36,0.25,9.19,7.11,5.73,4.4
ZB90,18.35,0.13,204.19,0.53,143.16,0.45,0.26,0.26,1.04,0.33,0.58,0.32,0,0.24,1.63,0.35,0,1.61,0.16,0,0.26,155.88,4.71,0,1.8,1,4.71,0,0.9,3,6.19,1.96,0.56,1.55,28.13,4.82,201.9,0,4.56,388.41,6.3,0.05,0.02,338.49,0.03,10.2,8.18,7.5,4.92
ZB93,5.7,0,5.46,0.7,24.72,0.3,0.13,0.13,0.75,0.17,0.69,0.32,0,0.12,0.91,0.35,0,0.88,0,0,0,376.18,1931.44,0,0.45,1,2868.92,0,34.17,42.48,3.61,4.78,1.12,3.14,341.51,58.54,446.1,0.02,18,562.21,3.74,0.16,0.2,106.62,0.02,7.2,5.93,4.55,2.55
ZB101,21.65,0.13,2.53,0,67.53,481.95,2.62,2.62,2.24,1.16,3.8,0.42,0,0.71,0.72,4.45,0.17,3.95,0,0,0.13,431.98,10.99,0,4.05,1.5,6.28,0,14.84,3,5.16,4.51,0.9,3.07,210.77,36.13,476.5,0.01,21.36,649.2,7.1,0.2,0.24,102.18,0.13,13.08,11,8.47,5.46
ZB79,5.79,0,160.26,0.35,112.55,0.23,0.13,0.13,0,0.17,0.12,0.21,0,0.12,1.09,0.23,0,0.58,0.16,0,0.13,229.1,34.94,0,0.45,0,6.67,0,14.84,1.5,12.38,4.21,1.98,2.87,91.48,15.69,355.1,0.02,6.36,514.37,0.83,0.15,0.16,90.89,0.05,20.6,16.19,13.72,7.49
ZB82,29.67,0.13,1044.38,0.53,822.6,0.75,0.52,0.52,0.15,0.33,0.81,0.74,0.13,0.48,0.72,0.94,0,5.99,0,0,0.53,207.71,0,0,14.84,1,25.12,0,41.81,1.5,6.7,5.86,3.32,3.68,377.73,64.74,434.8,0.03,13.02,801.41,70.41,0.15,0.22,78.74,0.17,12.83,12.23,10.13,5.56
ZB86,5.88,0,122.06,0.88,93.57,0.38,0.26,0.26,0.15,0.33,0.23,0.21,0,0.12,1.09,0.35,0,1.75,0.16,0,0.13,0,15.7,0,0,2,23.16,0,0,8,7.74,3.93,0.48,2.79,113.29,19.42,500.3,0.01,12.78,731.51,3.5,0.08,0.1,408.91,0.06,15.21,12.71,10.28,5.99
ZB96,5.17,0,167.19,0.53,141.54,0.15,0.13,0.13,0,0,0.12,0.21,0,0.12,0.72,0.12,0,0.44,0,0,0,246.76,8.64,0,0.45,1,12.95,0,12.59,1.5,7.22,3.75,0.58,2.5,54.64,9.37,315.4,0.01,5.07,489.05,0.8,0.1,0.06,103.49,0.1,17.92,14.54,12.08,6.5
ZB99,24.95,0.13,820.62,0.18,671.65,0.53,0.52,0.52,0,0.33,0.58,0.53,0.13,0.36,0.54,0.82,0,4.39,0,0,0.13,264.5,0,0,10.79,0,4.71,0,1.8,5.5,7.74,4.63,3.08,2.36,557.85,95.63,273.8,0.02,5.31,565.4,35.18,0.14,0.04,65.52,0.21,8.48,8.1,6.39,3.15
ZB103,11.58,0,55.37,0,79.3,0.45,0.66,0.66,0.3,0.33,0.23,0.32,0,0.24,0.18,1.05,0,0.88,0.16,0,0,449.95,3.93,0,2.7,0,10.21,0,6.29,2.5,6.7,2.65,0.64,1.86,220.22,37.75,365.5,0.02,8.25,524.9,1.67,0.06,0.04,233.63,0.05,9.18,7.46,6.14,2.75
ZB77,48.11,0.26,114.47,2.1,75.18,0.75,0.66,0.66,1.64,0.99,8.06,0.63,0,0.12,10.15,1.29,0,1.9,0,0,0,451,3.93,0,0.9,1,3.14,0,1.35,3.5,3.09,6.31,1.22,4.41,257.25,44.09,791.6,0.02,23.58,913.34,329.49,0.59,0.2,158.42,0.11,4.9,4.51,3.52,1.86
ZB80,1.07,0,0.53,0.35,5.44,0.15,0.13,0.13,0.45,0.17,0.46,0,0,0.12,1.99,0.12,0,0.29,0,0,0,579.5,9.03,0,2.7,9.49,13.35,0,8.09,2,13.92,12.33,1.62,8.84,490.53,84.09,1493.9,0.03,89.01,1626.11,296.1,0.44,0.48,100.51,0.24,8.85,8.25,6.48,4.96
ZB85,26.19,0,2.4,0.88,33.69,0.6,0.79,0.79,0.6,0.99,4.72,0.32,0,0.48,7.25,1.64,0,1.02,0,0,0,0,1.57,0,23214.85,1,0,0,2.25,2,8.77,6.02,9.04,2.88,156.39,26.81,670.7,0.01,29.04,792.44,40.29,0.33,0.32,133.64,0.01,2.87,2.33,1.91,1.39
ZB94,50.69,0,66.69,0.88,69.3,0.9,0.92,0.92,0.45,0.99,7.71,0.63,0,0.48,7.61,2.58,0.17,1.75,0.16,0,0,568.89,6.28,0,0.9,1,36.9,0,17.09,9.99,4.64,5.61,183.58,2.33,216.84,37.17,828.2,0.19,34.71,833.02,295.91,0.68,1.04,265.84,3.71,4.67,4.08,3.19,1.72
