ASV_ID,ZB1,ZB2,ZB3,ZB4,ZB5,ZB6,ZB7,ZB8,ZB9,ZB10,ZB11,ZB12,ZB13,ZB14,ZB15,ZB16,ZB17,ZB18,ZB19,ZB20,ZB21,ZB22,ZB23,ZB24,ZB25,ZB26,ZB27,ZB28,ZB29,ZB30,ZB31,ZB32,ZB33,ZB34,ZB35,ZB36,ZB37,ZB38,ZB39,ZB40,ZB41,ZB42,ZB43,ZB44,ZB45,ZB46,ZB47,ZB48,ZB49,ZB50,ZB51,ZB52,ZB53,ZB54,ZB55,ZB56,ZB57,ZB58,ZB59,ZB60,ZB61,ZB62,ZB63,ZB64,ZB65,ZB66,ZB67,ZB68,ZB69,ZB70,ZB71,ZB72,ZB73,ZB74,ZB75,ZB76,ZB77,ZB78,ZB79,ZB80,ZB81,ZB82,ZB83,ZB84,ZB85,ZB86,ZB87,ZB88,ZB89,ZB90,ZB91,ZB92,ZB93,ZB94,ZB95,ZB96,ZB97,ZB98,ZB99,ZB100,ZB101,ZB102,ZB103,ZB104,ZB105,ZB106
ASV21,0,229,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,162,0,0,7,0,0,24,0,21,0,0,0,0,0,0,0,0,0,123,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1366,136,457,384,1094,305,334,1028,228,1711,328,528,1028,493,696,4181,755,1074,2550,75,954,627,859,702,561,1157,1235,1735,1213,1072,772,3646,998,2785,2330,4749,2063,156,539,831,2125,1012,811,511,2079,1214,469,929,2394,1129,2327,3311,7668
ASV22,0,10,4,0,0,0,0,11,0,7,0,0,0,5,14,0,0,0,0,0,22,0,0,0,13,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,43,0,0,3,0,4,0,0,5,1320,2017,4607,1947,285,183,0,206,880,322,153,138,581,1458,3095,1482,1021,606,1307,268,2695,573,2269,1505,796,1578,5253,1183,925,124,890,4619,1318,1369,4031,430,1431,3093,672,2049,2430,495,282,177,1604,356,26,657,2131,875,563,3403,1058
ASV23,0,285,0,0,343,1473,2152,1528,4238,1666,853,418,563,103,709,144,626,624,2113,51,1132,2084,2180,611,196,1183,3291,171,104,158,701,984,7227,1077,538,463,4468,97,3735,1477,7762,1307,781,160,1408,588,2678,674,115,2026,301,492,671,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0
ASV24,1027,438,6174,1141,10804,764,4392,2002,1336,3067,436,2737,333,296,2363,2499,2411,188,71,818,65,639,950,0,0,0,0,29,0,966,3082,0,0,415,13,36,203,934,868,1704,81,58,0,0,20,28,1795,1968,0,0,306,0,0,27,79,252,119,399,139,1556,39,162,471,307,52,174,271,61,174,42,346,0,60,16,19,137,0,0,0,0,0,0,137,667,0,0,227,0,0,0,335,23,160,0,0,0,0,0,0,0,361,0,0,124,0,0
ASV25,531,1253,1204,775,4220,385,451,504,507,1450,3788,6033,350,1378,1382,1999,1552,1587,48,1366,482,724,752,0,101,78,659,1905,161,531,1214,249,28,648,949,810,136,1852,2308,1466,482,430,125,445,2619,281,1981,953,170,44,583,1302,1360,103,75,77,79,157,58,68,36,149,30,201,111,257,37,677,206,10,35,101,59,351,49,537,0,199,97,190,16,210,117,63,115,205,163,214,121,71,131,51,610,0,281,67,81,31,105,70,91,82,167,160,191,228
ASV26,0,82,465,186,422,262,3217,4444,357,397,0,52,2448,118,192,299,167,635,840,198,1318,321,1873,0,185,5629,2266,543,1505,0,1295,5960,6552,4094,728,3175,302,193,281,334,65,1216,2129,0,165,1409,0,410,119,3280,218,108,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
ASV27,1715,578,1988,1664,1545,913,5740,4404,716,586,4285,1255,1303,1300,1898,1626,2745,1088,88,198,2841,402,330,48,797,1356,692,83,1505,86,378,2578,2739,1622,38,198,80,331,767,350,480,2091,1078,21,506,1179,876,126,40,465,169,66,459,8,0,36,0,8,0,10,0,0,0,19,0,5,7,17,28,0,87,0,0,0,0,7,0,4,12,0,0,55,14,12,0,6,0,0,20,7,12,0,0,0,7,5,0,0,22,0,0,0,0,0,0,24
ASV28,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,9,0,0,13,0,19,0,0,0,0,0,0,0,0,1197,1056,614,1116,85,54,19,403,0,1618,0,34,0,818,0,1899,144,0,1959,684,406,2431,3310,601,101,3797,356,632,3111,630,71,387,1740,2581,976,0,2639,6530,3519,3287,1172,127,777,0,900,1113,71,56,177,850,949,782,0
ASV29,920,161,829,1168,80,2364,6938,147,9739,4014,30,3,24,25,19,22,953,602,350,20,1068,0,3165,30,74,1384,0,58,836,21,0,82,26,43,45,853,3461,16,10,3084,382,933,1869,21,149,4997,768,5,15,152,187,22,520,4,7,18,308,0,8,24,0,81,4,5,0,49,0,0,0,0,34,134,0,53,0,0,0,21,183,0,4,237,0,23,0,190,0,24,49,96,0,9,3,0,23,66,0,0,130,0,52,0,237,0,23,65
ASV30,156,0,0,0,0,633,0,0,0,0,5256,0,554,393,0,1750,0,174,0,2572,116,542,1337,77,25,0,795,6448,16,0,4553,383,0,31,4572,1959,0,2690,1049,2002,2395,140,0,542,4454,0,0,2647,52,0,28,3385,1193,0,0,0,0,0,10,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0
ASV31,541,1029,155,3303,355,87,225,1656,948,4519,13,997,164,0,436,24,889,161,25,17,61,0,110,9,13,1040,41,194,3134,13,44,28,0,0,2039,109,510,23,256,92,2913,157,669,723,2367,311,1396,48,51,94,18,2106,58,171,221,548,202,258,78,326,226,544,347,289,67,325,602,1152,1059,587,1111,128,52,367,351,120,363,267,285,282,455,415,913,153,417,246,187,762,312,102,433,203,157,752,106,138,40,502,150,301,125,263,144,125,757,378
ASV32,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,8,0,13,0,0,21,0,0,0,0,0,0,0,0,74,268,243,1662,672,105,0,185,227,150,11,234,1026,750,272,1435,59,259,579,115,5189,2030,1550,810,2261,163,1077,649,0,3250,952,2604,780,1938,142,52,516,893,2026,1617,1735,2793,52,56,833,0,708,1156,1919,686,803,148,41
ASV33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,296,3351,3544,0,33,0,3111,9839,26,0,110,0,0,617,0,0,0,65,6314,7702,12,294,0,652,9213,0,0,113,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,74,270,0,95,0,247,63,0,0,0,0,0,35,0,0,0,0,80,235,0,160,0,85,59,0,0,0,0,0,27,0,0
ASV34,998,517,942,1010,1143,461,967,1303,1654,913,188,271,421,0,1302,122,907,427,1502,69,1002,299,1363,132,632,2654,1002,217,582,346,3015,327,2061,26,682,876,1316,115,295,840,978,778,1590,321,685,584,1258,770,0,841,466,645,472,45,0,49,54,0,0,47,0,159,22,34,0,55,0,179,58,0,65,109,0,78,0,74,49,33,258,216,85,65,110,59,0,127,28,582,117,159,31,0,85,99,49,89,0,106,53,0,55,0,97,0,543,147
ASV35,241,47,92,61,166,2264,90,604,888,138,10191,0,0,0,20,31,3391,5613,8,0,491,0,16,0,119,0,48,0,18,0,27,1526,91,11,157,88,25,0,0,24,349,536,0,2529,73,75,0,0,1375,129,267,61,1415,0,0,0,8,29,0,0,37,103,19,429,0,142,57,0,21,68,1352,0,0,119,0,16,106,69,0,787,0,0,0,0,2607,56,22,1143,426,0,13,0,0,251,102,0,191,0,0,0,0,1799,33,12,928,546
ASV36,0,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,13,0,0,5,0,24,0,9,8,0,0,0,0,0,760,0,4469,1546,112,53,0,45,943,1908,121,222,325,168,2270,2680,438,86,894,0,3517,470,916,100,1329,1073,66,482,858,436,1054,779,723,100,1367,1626,1200,0,680,952,235,1083,315,0,718,472,45,911,443,404,62,1210,2792
ASV37,0,0,0,0,0,0,0,4,0,0,0,0,0,0,19,0,0,0,0,0,10,0,0,0,8,7,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,12,0,0,0,0,8,0,0,0,0,3,0,601,1408,1069,1232,0,238,2034,197,3111,388,482,419,946,1390,1525,838,1376,1370,423,148,1169,192,302,319,398,341,2574,0,850,680,185,2361,1451,229,805,310,379,1906,313,369,1146,629,64,114,0,265,130,290,2124,885,109,1287,288
ASV38,437,273,829,1763,1265,353,638,712,644,538,4983,888,455,1670,1391,743,591,757,220,68,895,491,1490,67,312,1893,2277,130,619,65,231,1721,930,1034,110,218,156,109,797,903,598,869,1384,125,303,1289,1078,175,243,249,315,307,339,0,0,0,0,9,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,5,29,0,0,0,0,0,0,4,5,0,11,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0
ASV39,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,269,185,1390,597,511,0,181,912,138,152,54,0,576,45,854,1538,479,499,901,2149,3082,1364,536,1062,712,1090,1030,779,734,687,181,113,1094,208,658,593,2534,3335,1560,796,905,327,78,1012,538,122,460,104,64,648,301,763
